file,label
dandelion/3857059749_fe8ca621a9.jpg,1
daisy/18679421522_3be9879e32.jpg,0
daisy/34701078235_4a770d14a1_n.jpg,0
tulip/14068378204_7b26baa30d_n.jpg,4
dandelion/14058811536_f29cd7bd58_n.jpg,1
dandelion/15782158700_3b9bf7d33e_m.jpg,1
daisy/3962240986_0661edc43a_n.jpg,0
tulip/21084139365_f44cd2a685_n.jpg,4
dandelion/34552250422_320900fd8e_n.jpg,1
sunflower/5955475577_3d923874d9_n.jpg,3
rose/4648680921_80dfc4f12a.jpg,2
daisy/14245834619_153624f836.jpg,0
tulip/7166614014_5f0f8d715b_n.jpg,4
tulip/14239946452_b0c8f018fe_n.jpg,4
sunflower/4664737020_b4c61aacd3_n.jpg,3
rose/22506717337_0fd63e53e9.jpg,2
sunflower/4902448474_6850b85765_n.jpg,3
tulip/14064735842_a946fba1ef_n.jpg,4
dandelion/4632761610_768360d425.jpg,1
sunflower/9483429732_5ae73eb672_n.jpg,3
rose/7456611336_52fec6b57e_n.jpg,2
tulip/7002703410_3e97b29da5_n.jpg,4
tulip/2535936698_78cc03df3f_n.jpg,4
tulip/7179796338_05e8b1c87b.jpg,4
rose/5001845055_69f04d9779_n.jpg,2
dandelion/451965300_619b781dc9_m.jpg,1
tulip/8762193202_0fbf2f6a81.jpg,4
rose/7456914664_cdee3170c5_n.jpg,2
tulip/15052586652_56a82de133_m.jpg,4
dandelion/5646743865_a8f20b60f7_n.jpg,1
daisy/2514748602_343d4727c0_n.jpg,0
sunflower/6050020905_881295ac72_n.jpg,3
dandelion/19526570282_1d1e71b0f3_m.jpg,1
sunflower/2425164088_4a5d2cdf21_n.jpg,3
dandelion/8223949_2928d3f6f6_n.jpg,1
sunflower/9558632814_e78a780f4f.jpg,3
tulip/14746916178_40403cc57e.jpg,4
rose/6653567281_768a1fd160.jpg,2
daisy/754296579_30a9ae018c_n.jpg,0
dandelion/5655177340_78fc36ce59_m.jpg,1
dandelion/33890085903_0e10553b27_n.jpg,1
rose/11233672494_d8bf0a3dbf_n.jpg,2
tulip/6934951920_d43ff8b78d.jpg,4
dandelion/13942846777_5571a6b0a1_n.jpg,1
rose/7456439862_8b1ae909b7_n.jpg,2
dandelion/18687587599_3dd4fdf255.jpg,1
dandelion/1469549847_eac61a6802.jpg,1
daisy/2346726545_2ebce2b2a6.jpg,0
tulip/13956300996_07e64a3dbd_n.jpg,4
rose/16051111039_0f0626a241_n.jpg,2
sunflower/6198569425_e953b9e6cc_m.jpg,3
dandelion/34727715205_62c9c1ac44_n.jpg,1
sunflower/9485002920_59af6f4cac.jpg,3
tulip/14093907931_dd8f642574.jpg,4
rose/21413573151_e681c6a97a.jpg,2
dandelion/15381511376_fd743b7330_n.jpg,1
daisy/34566613262_fefbcc279a_n.jpg,0
sunflower/5956626941_2885465093_n.jpg,3
tulip/402525114_eaa60c8341_m.jpg,4
rose/9337528427_3d09b7012b.jpg,2
dandelion/13897156242_dca5d93075_m.jpg,1
tulip/14066056226_d8564a083e_m.jpg,4
dandelion/8733226215_161309f8ec.jpg,1
tulip/4418204816_018375acd0_m.jpg,4
dandelion/3664916269_29f07c7c7b.jpg,1
sunflower/201809908_0ef84bb351.jpg,3
rose/7461899330_3b72976570_n.jpg,2
daisy/34261196280_aa99186136_n.jpg,0
tulip/3523398585_376960a611_m.jpg,4
dandelion/4574451859_432c856b6e_n.jpg,1
rose/15972976206_d32feeb79b_n.jpg,2
tulip/7166644048_b00a14f01b.jpg,4
dandelion/33522989504_542fde1a1a_n.jpg,1
tulip/13509967925_eaaeefa396_m.jpg,4
dandelion/16911008669_ea21fd8915_n.jpg,1
daisy/14485782498_fb342ec301.jpg,0
rose/5002461124_dc5988bbc9_n.jpg,2
rose/3407482427_49d5c75291_m.jpg,2
dandelion/7116950607_49b19102ba_n.jpg,1
dandelion/921252114_91e334b950.jpg,1
sunflower/200557977_bf24d9550b.jpg,3
tulip/16074109313_2cc14c7d16.jpg,4
tulip/15029962436_3e50c1f30f_n.jpg,4
rose/14683774134_6367640585.jpg,2
tulip/6931674908_8e93bd4554.jpg,4
tulip/4522764992_e9d70b82c1_m.jpg,4
dandelion/3591588855_b4fd53b000.jpg,1
tulip/14116826873_d4bab623bf_n.jpg,4
daisy/6089825811_80f253fbe1.jpg,0
tulip/12873145295_438b8197a7_n.jpg,4
tulip/2503489175_f0848d3e8e.jpg,4
rose/7683456068_02644b8382_m.jpg,2
tulip/478765271_6a8ca1cfa1_m.jpg,4
dandelion/14283011_3e7452c5b2_n.jpg,1
dandelion/15821571649_06c4b9a868_n.jpg,1
daisy/34295444880_b4376b3a8b_n.jpg,0
tulip/13926327692_a07357ff0d.jpg,4
rose/5335935851_53634d6aed_n.jpg,2
daisy/5884807222_22f5326ba8_m.jpg,0
tulip/924782410_94ed7913ca_m.jpg,4
dandelion/2477231067_3aecef1bf8_n.jpg,1
tulip/14487762578_baba13d16a_m.jpg,4
daisy/909609509_a05ccb8127.jpg,0
rose/5180896559_b8cfefc21e.jpg,2
dandelion/18204150090_fb418bbddb.jpg,1
tulip/4546299243_23cd58eb43.jpg,4
dandelion/4606893762_c2f26c7e91_n.jpg,1
rose/2491600761_7e9d6776e8_m.jpg,2
tulip/212720516_df4965ebda_n.jpg,4
tulip/17970201501_6ee7401206_n.jpg,4
dandelion/6897671808_57230e04c5_n.jpg,1
sunflower/2979133707_84aab35b5d.jpg,3
daisy/171972704_389cf7a953.jpg,0
rose/18492288871_8c9d5657bb_n.jpg,2
rose/3276552939_8c31b22d3e.jpg,2
sunflower/6140808687_88df0fd733.jpg,3
daisy/3475870145_685a19116d.jpg,0
tulip/5634767665_0ae724774d.jpg,4
tulip/6905876618_12732b74de_b.jpg,4
daisy/14591326135_930703dbed_m.jpg,0
sunflower/7176729016_d73ff2211e.jpg,3
dandelion/17388674711_6dca8a2e8b_n.jpg,1
rose/7456196174_f9de97ba73_n.jpg,2
rose/9164900485_605aa12da8.jpg,2
daisy/4753134939_8e87649db6.jpg,0
daisy/20580471306_ab5a011b15_n.jpg,0
tulip/5543457754_89c44c88de_n.jpg,4
